"age","drug","use","frequency"
"21","meth",0.6,2.0
"22 - 23","meth",0.6,46.0
"24 - 25","meth",0.7,21.0
"26 - 29","meth",0.6,30.0
"30 - 34","meth",0.4,54.0
"35 - 49","meth",0.2,104.0
"50 - 64","meth",0.2,30.0
"65+","meth",0.0,"null"

"12","sedative",0.2,13.0
"13","sedative",0.1,19.0
"14","sedative",0.2,16.5
"15","sedative",0.4,30.0
"16","sedative",0.2,3.0
"17","sedative",0.5,6.5
"18","sedative",0.4,10.0
"19","sedative",0.3,6.0
"20","sedative",0.5,4.0
"21","sedative",0.3,9.0
"22 - 23","sedative",0.2,52.0
"24 - 25","sedative",0.2,17.5
"26 - 29","sedative",0.4,4.0
"30 - 34","sedative",0.4,10.0
"35 - 49","sedative",0.3,10.0
"50 - 64","sedative",0.2,104.0
"65+","sedative",0.0,15.0

"12","alcohol",3.9,3.0  
"13","alcohol",8.5,6.0  
"14","alcohol",18.1,5.0  
"15","alcohol",29.2,6.0  
"16","alcohol",40.1,10.0  
"17","alcohol",49.3,13.0  
"18","alcohol",58.7,24.0  
"19","alcohol",64.6,36.0  
"20","alcohol",69.7,48.0  
"21","alcohol",83.2,52.0  
"22 - 23","alcohol",84.2,52.0  
"24 - 25","alcohol",83.1,52.0  
"26 - 29","alcohol",80.7,52.0  
"30 - 34","alcohol",77.5,52.0  
"35 - 49","alcohol",75.0,52.0  
"50 - 64","alcohol",67.2,52.0  
"65+","alcohol",49.3,52.0  
